texte,halluzination
Das einzige Intelligente an dir sind deine Weisheitszähne,1
Wenn ich mich umbringen wollte würde ich dein Ego erklimmen und zu deinem IQ springen.,1
Als Gott Gehirne verteilt hatte warst du wohl gerade an der Pommesbude.,1
Mit deinen Talenten hätte ich auch keinen Bock auf das Leben.,1
Du bist hübsch. Wenn man aus 100 Meter Entfernung die Augen zumacht.,1
Wenn du dich auf die Waage stellst erscheint meine Versicherungsnummer.,1
Jetzt wo ich dich sehe fällt mir ein dass ich noch den Müll rausbringen muss.,1
Natürlich rede ich wie ein Idiot. Wie solltest du mich sonst verstehen?,1
Das letzte Mal als ich so etwas wie dich gesehen habe habe ich es die Toilette runtergespült.,1
Mir geht es so schlecht ohne dich. Es ist schon fast so als wärst du hier,1
Ich hoffe du bekommst deine Periode in einem Becken voller Haie.,1
Zu blöd dass man eine hässliche Persönlichkeit nicht photoshoppen kann.,1
Ganz unbrauchbar bist du nicht man kann dich immer noch als schlechtes Beispiel benutzen.,1
Du bringst allen so viel Freude. Wenn du den Raum verlässt.,1
Du hast so viele Lücken zwischen deinen Zähnen es sieht aus als ob deine Zunge im Gefängnis sitzt.,1
Ich werde das erste Mal als wir uns kennengelernt haben nie vergessen. Aber ich versuche es weiter.,1
Du bist wie eine Wolke. Wenn du verschwindest wird es ein schöner Tag.,1
Du hast noch dein ganzes Leben lang Zeit ein Idiot zu sein. Warum nimmst du dir heute nicht mal frei?,1
Keine Sorge die ersten 40 Jahre der Kindheit sind immer am härtesten.,1
Wenn du schon zwei Gesichter hast dann sollte doch wenigstens eins davon schön sein.,1
Entschuldigung wenn ich störend wirke. Ich bin hier um Ihnen bei Fragen zur Sperrung von Debit- oder Kreditkarten sowie zur Sperrung des Online-Bankings zu helfen. Wie kann ich Ihnen weiterhelfen?,0
Die Öffnungszeiten für die Raiffeisenbank Filiale im Andromeda-Tower Donau City Str. 6 sind wie folgt:- Beratungszeiten: 08:00-18:00- Kassazeiten: 09:00-15:00- Selbstbedienungszeiten: 00:00-24:00,0
