Filliale;Telefonnummer;Beratungszeiten;Kassazeiten;Selbstbedienungsverfügbarkeit;Selbstbedienung Auszahlung Banknoten;Selbstbedienung - Einzahlung Banknoten;Selbstbedienung - Kontoauszug;Selbstbedienung - Kontostands-abfrage;Selbstbedienung - Überweisung;Selbstbedienung - Einzahlung Münzen;Selbstbedienung - Handywertkarte laden;Selbstbedienung - 24h SB-Safeanlage;Outdoor Verfügbarkeit;Outdoor - Auszahlung Banknoten;Outdoor - Kontostands-abfrage;Outdoor - Handywertkarte laden
Seilergasse 8; +43 5 1700-62000;08:00-18:00;09:00-15:00;00:00-24:00;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;00:00-24:00;Nein;Nein;Nein
Friedrich-Wilhelm-Raiffeisen-Pl. 1; +43 5 1700-60100 ;08:00-18:00;09:00-15:00;00:00-24:00;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00-24:00;Nein;Nein;Nein
Landstraßer Hauptstraße 2 a-b; +43 5 1700-67500;08:00-18:00;09:00-15:00;00:00-24:00;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;00:00-24:00;Ja;Ja;Ja
Landstraßer Hauptstraße 76; +43 5 1700-64200;08:00-18:00;09:00-15:00;00:00-24:00;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;00:00-24:00;Nein;Nein;Nein
Wiedner Hauptstraße 98; +43 5 1700-63300 ;08:00-18:00;09:00-15:00;00:00-24:00;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;00:00-24:00;Ja;Ja;Ja
Mariahilfer Straße 88a; +43 5 1700-67800;08:00-18:00;09:00-15:00;00:00-24:00;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;00:00-24:00;Ja;Ja;Ja
Hansonzentrum Top Nr. EG/R20+EG/21 - Favoritenstraße 239; +43 5 1700-62200;08:00-18:00;09:00-15:00;00:00-24:00;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;00:00-24:00;Nein;Nein;Nein
Simmeringer Hauptstraße 84; +43 5 1700-66000 ;08:00-18:00;09:00-15:00;00:00-24:00;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;00:00-24:00;Nein;Nein;Nein
Meidlinger Hauptstraße 46; +43 5 1700-61100 ;08:00-18:00;09:00-15:00;00:00-24:00;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;00:00-24:00;Nein;Nein;Nein
Hietzinger Hauptstraße 20; +43 5 1700-62300 ;08:00-18:00;09:00-15:00;00:00-24:00;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;00:00-24:00;Nein;Nein;Nein
Hütteldorfer Straße 112; +43 5 1700-63100 ;08:00-18:00;09:00-15:00;00:00-24:00;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;00:00-24:00;Ja;Ja;Ja
Jörgerstraße 24; +43 5 1700-62600 ;08:00-18:00;09:00-15:00;00:00-24:00;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;00:00-24:00;Nein;Nein;Nein
Währinger Straße 110; +43 5 1700-65000 ;08:00-18:00;09:00-15:00;00:00-24:00;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;00:00-24:00;Ja;Ja;Ja
Sonnbergplatz 1; +43 5 1700-62700 ;08:00-18:00;09:00-15:00;00:00-24:00;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;00:00-24:00;Ja;Ja;Ja
Muthgasse 13/Stiege 2; +43 5 1700-63500 ;08:00-18:00;09:00-15:00;00:00-24:00;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;00:00-24:00;Nein;Nein;Nein
Am Spitz 2; +43 5 1700-62500 ;08:00-18:00;09:00-15:00;00:00-24:00;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;00:00-24:00;Nein;Nein;Nein
Andromeda-Tower, Donau City Str. 6; +43 5 1700-68300 ;08:00-18:00;09:00-15:00;00:00-24:00;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;00:00-24:00;Ja;Ja;Ja
Kagran, Donaufelder Straße 252; +43 5 1700-61800 ;08:00-18:00;09:00-15:00;00:00-24:00;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;00:00-24:00;Nein;Nein;Nein
Siegesplatz 25A; +43 5 1700-66500 ;08:00-18:00;09:00-15:00;00:00-24:00;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;00:00-24:00;Nein;Nein;Nein
EKZ Riverside/Top1 - Breitenfurterstraße 372; +43 5 1700-65500 ;08:00-18:00;09:00-15:00;00:00-24:00;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;00:00-24:00;Nein;Nein;Nein
